school,logo
Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tennessee_Lady_Volunteers_logo.svg/240px-Tennessee_Lady_Volunteers_logo.svg.png
UConn,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Connecticut_Huskies_wordmark.svg/320px-Connecticut_Huskies_wordmark.svg.png
Stanford,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/203px-Stanford_Cardinal_logo.svg.png
Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/378px-Georgia_Athletics_logo.svg.png
Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/332px-Texas_Longhorns_logo.svg.png
North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/304px-North_Carolina_Tar_Heels_logo.svg.png
Notre Dame,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/200px-Notre_Dame_Fighting_Irish_logo.svg.png
Maryland,https://upload.wikimedia.org/wikipedia/commons/1/19/Maryland_terrapins_logo.png
Duke,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/150px-Duke_Athletics_logo.svg.png
Vanderbilt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Vanderbilt_Commodores_logo.svg/246px-Vanderbilt_Commodores_logo.svg.png
Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/296px-Purdue_Boilermakers_logo.svg.png
Ohio St.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/250px-Ohio_State_Buckeyes_logo.svg.png
LSU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/249px-LSU_Athletics_logo.svg.png
Virginia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Virginia_Cavaliers_text_logo.svg/235px-Virginia_Cavaliers_text_logo.svg.png
Rutgers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/270px-Rutgers_Scarlet_Knights_logo.svg.png
Louisiana Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Louisiana_Tech_Lady_Techsters_logo.svg/202px-Louisiana_Tech_Lady_Techsters_logo.svg.png
Iowa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Iowa_Hawkeyes_wordmark.svg/252px-Iowa_Hawkeyes_wordmark.svg.png
DePaul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/DePaul_Blue_Demons_Script_Logo.png/320px-DePaul_Blue_Demons_Script_Logo.png
Old Dominion,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Old_Dominion_Athletics_wordmark.svg/320px-Old_Dominion_Athletics_wordmark.svg.png
Penn St.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Penn_State_Athletics_wordmark.svg/229px-Penn_State_Athletics_wordmark.svg.png
NC State,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/202px-North_Carolina_State_University_Athletic_logo.svg.png
Montana,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Montana_Griz_logo.svg/133px-Montana_Griz_logo.svg.png
Western Ky.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Western_Kentucky_Hilltoppers_wordmark.svg/250px-Western_Kentucky_Hilltoppers_wordmark.svg.png
Texas Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/252px-Texas_Tech_Athletics_logo.svg.png
Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/199px-Baylor_Athletics_logo.svg.png
Green Bay,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Green_Bay_Phoenix_logo.svg/250px-Green_Bay_Phoenix_logo.svg.png
Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/194px-Oklahoma_Sooners_logo.svg.png
Louisville,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Louisville_Cardinals_wordmark.svg/200px-Louisville_Cardinals_wordmark.svg.png
Auburn,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/250px-Auburn_Tigers_logo.svg.png
Middle Tenn.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Middle_Tennessee_MT_Logomark.svg/200px-Middle_Tennessee_MT_Logomark.svg.png
